ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,27.229400002397597,21,801,178500,322,19.014542,3.406656,12.80687,
1,24.779599996691104,21,755,178500,323,18.316357,1.749613,13.22618,
1,57.6465999984066,38,1007,178556,324,14.529775,2.506824,11.76463,
1,66.72509999771137,39,970,178548,325,15.953594,2.889868,17.87554,
1,37.9495000015595,35,845,178500,326,18.579729,1.692762,12.52999,
1,42.45250000531087,39,986,178552,327,18.811887,4.556185,12.94983,
1,65.2598999949987,39,1001,178556,328,12.604152,1.037561,12.586,
1,58.458599996811245,21,750,178484,329,14.342024,2.602979,15.28788,
1,38.911200004804414,29,859,178500,330,19.763595,1.285634,14.27554,
1,35.08229999715695,60,805,178512,331,18.250442,2.9017,12.52999,
1,21.238799999991897,38,1003,178532,332,13.038988,2.464321,13.11473,
1,81.67200000025332,39,958,178556,333,15.047211,1.97429,12.74943,
1,19.667499997012783,21,742,178512,334,14.35491,2.679675,13.11919,
1,89.60169999772916,46,929,178556,335,19.698091,2.835442,12.28873,
1,33.63839999656193,60,967,178556,336,19.60108,1.122128,12.52999,
1,61.981499995454215,38,949,178556,337,12.528882,1.111264,13.47141,
1,38.11459999997169,38,1003,178556,338,17.327557,1.880931,13.56165,
1,30.312099996081088,38,976,178548,339,16.611361,4.181465,13.23026,
1,37.82140000112122,39,989,178548,340,14.654511,1.98271,13.83643,
1,48.99979999754578,60,895,178496,341,17.803269,2.903591,12.52999,
1,28.49479999713367,21,790,178512,342,13.193681,1.34978,11.93778,
1,384.6581999969203,21,567,178112,343,17.89734,4.441649,12.11019,
1,41.65349999675527,21,772,178532,344,19.122897,3.040356,13.26122,
1,37.56430000066757,21,767,178540,345,13.227637,1.90263,13.23226,
1,31.202999998640735,35,663,178328,346,15.628191,4.407429,12.52999,
1,46.65640000166604,30,805,178520,347,17.201579,2.096828,11.22055,
1,30.184399998688605,38,1023,178344,348,18.047509,2.741761,11.97111,
1,53.85999999998603,38,986,178364,349,19.862112,2.714909,13.42492,
1,25.99970000301255,25,656,178316,350,18.697571,1.058167,11.86653,
1,55.7769000006374,60,896,178372,351,17.74577,2.593914,12.52999,
1,36.24940000008792,21,758,178340,352,15.992074,1.795303,11.95874,
1,57.41470000066329,21,632,178328,353,19.436092,1.79858,13.97377,
1,47.66640000161715,38,1028,178016,354,16.492694,3.389382,12.65584,
1,70.97510000312468,21,796,178176,355,18.867547,2.866666,12.8072,
1,84.43260000058217,36,759,178180,356,18.63913,3.095586,12.52999,
1,75.2541999972891,78,997,178232,357,19.650677,3.866431,12.52999,
1,31.237099996360485,39,1047,175956,358,19.296842,4.769442,10.4,
1,28.893900002003647,38,814,178184,359,18.417969,1.48947,14.0,
1,41.502300002321135,21,801,178376,360,12.995429,3.464967,17.6,
1,69.25459999911254,22,810,178156,361,14.169653,2.540609,21.2,
1,60.0715999971726,36,905,178180,362,13.390625,4.048687,12.52999,
1,19.369599998753984,21,791,178364,363,18.835982,1.531219,11.16904,
1,30.036200005270075,21,799,178384,364,16.134679,2.580052,13.98005,
1,39.43470000376692,38,979,178204,365,18.320123,2.859969,14.0,
1,24.347600003238767,38,1052,178204,366,17.846472,3.264416,17.6,
1,44.73909999796888,35,684,178352,367,19.825985,2.678532,12.52999,
1,51.98219999874709,39,1010,178232,368,19.901367,2.661754,12.13262,
1,42.553299994324334,38,963,178224,369,13.461349,4.128324,11.19139,
1,49.09159999806434,38,1009,178224,370,14.173752,3.263019,11.66298,
1,18.977200001245365,29,763,178184,371,17.168121,1.798709,14.0,
1,54.73619999975199,60,1014,178224,372,12.275255,4.948133,12.52999,
1,29.269999999087304,38,959,178224,373,18.539121,1.494821,12.78162,
1,83.26629999646684,39,1028,178604,374,18.783755,2.032521,14.79139,
1,46.34039999655215,38,963,178616,375,13.978278,4.090465,14.66769,
1,49.97299999376992,39,1012,178592,376,18.058896,4.383829,10.4,
1,31.58129999792436,60,984,178604,377,13.093216,3.990345,12.52999,
1,23.024399997666478,38,828,178768,378,15.758591,2.303534,11.86016,
1,25.590299999748822,21,613,178760,379,17.874423,4.380572,14.22241,
1,32.03719999874011,39,1024,178612,380,14.579686,1.619246,12.00751,
1,42.554999999993015,21,733,178760,381,19.933478,4.67676,14.0,
1,29.61189999768976,35,781,178764,382,14.318729,4.257657,12.52999,
1,26.421599999594036,21,615,178572,383,12.717546,4.650184,11.77625,
1,35.790399997495115,21,769,178560,384,18.197218,1.787452,13.86041,
1,90.53889999631792,21,638,178756,385,14.365498,3.382219,11.68798,
1,19.559699998353608,21,845,178552,386,14.846061,3.944935,13.89952,
1,23.677500001213048,36,735,178748,387,16.738903,1.828115,12.52999,
1,39.032499997119885,26,825,178768,388,16.880876,1.056236,12.2206,
1,27.530500003194902,34,870,178580,389,12.893983,1.644831,13.02777,
1,24.835699994582683,38,1030,178608,390,14.829422,1.047639,11.80942,
1,23.03579999716021,21,704,178572,391,19.43926,1.958036,12.33493,
1,28.773699996236246,60,1054,178608,392,14.165108,2.502569,12.52999,
